route_id,route_name,stop_id,stop_sequence,latitude,longitude,stop_name,distance_to_next,cumulative_distance,estimated_travel_time_min,normal_day_time_min,morning_traffic_time_min,route_segment,travel_time_category,distance_category,condition
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,1,1,-1.97922,30.22352,Kabuga Bus Park1,0.970107559,0,1.293476745,1.293476745,1.66304153,Start,Very Short,Close,normal_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,2,2,-1.98699,30.21955,Masaka Hospital,3.33608671,0.970107559,4.448115614,4.448115614,5.719005789,Start,Short,Far,normal_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,3,3,-1.99804,30.19164,Masaka Bus Terminal,0.24150018,4.306194269,0.322000239,0.322000239,0.414000308,Start,Very Short,Very Close,normal_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,4,4,-1.99587,30.19155,Masaka Rd_2,0.320655506,4.547694449,0.427540674,0.427540674,0.549695152,Start,Very Short,Very Close,normal_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,5,5,-1.99302,30.19111,Masaka Health Centre,0.386537039,4.868349955,0.515382719,0.515382719,0.662634924,Start,Very Short,Very Close,normal_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,6,6,-1.99001,30.19285,Masaka Rd_1,0.5573654,5.254886994,0.743153867,0.743153867,0.955483543,Start,Very Short,Close,normal_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,7,7,-1.98532,30.19108,At 19_Inyange1,1.173229832,5.812252394,1.564306442,1.564306442,2.01125114,Start,Very Short,Medium,normal_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,8,8,-1.9792,30.18248,KK 3 Rd_15,0.219123292,6.985482226,0.29216439,0.29216439,0.375639929,Early,Very Short,Very Close,normal_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,9,9,-1.97749,30.1815,Kibaya Minagri,0.534957457,7.204605518,0.713276609,0.713276609,0.917069926,Early,Very Short,Close,normal_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,10,10,-1.97365,30.1786,Bus Route 107_3,0.413880807,7.739562975,0.551841076,0.551841076,0.709509955,Early,Very Short,Very Close,normal_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,11,11,-1.97129,30.17572,Mulindi1,0.714276414,8.153443782,0.952368552,0.952368552,1.224473852,Early,Very Short,Close,normal_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,12,12,-1.96891,30.16975,KK 3 Rd_11,0.754819859,8.867720195,1.006426479,1.006426479,1.293976902,Early,Very Short,Close,normal_day
