Stops,Latitude,Longitude,latitude,longitude,stop_number,distance_km,time_minutes,route_part
Kabuga Bus Park1,S1.97922,E30.22352,-1.97922,30.22352,1,0.9701075590621605,2.328258141749185,Start
Masaka Hospital,S1.98699,E30.21955,-1.98699,30.21955,2,3.336086710390547,8.006608104937312,Start
Masaka Bus Terminal,S1.99804,E30.19164,-1.99804,30.19164,3,0.24150017957086886,0.5796004309700853,Start
Masaka Rd_2,S1.99587,E30.19155,-1.99587,30.19155,4,0.3206555056227317,0.7695732134945561,Start
Masaka Health Centre,S1.99302,E30.19111,-1.99302,30.19111,5,0.386537039171874,0.9276888940124975,Start
Masaka Rd_1,S1.99001,E30.19285,-1.99001,30.19285,6,0.5573654001193555,1.3376769602864533,Start
At 19_Inyange1,S1.98532,E30.19108,-1.98532,30.19108,7,1.1732298318493493,2.8157515964384383,Start
KK 3 Rd_15,S1.97920,E30.18248,-1.9792,30.18248,8,0.21912329212771858,0.5258959011065246,Start
Kibaya_Minagri,S1.97749,E30.18150,-1.97749,30.1815,9,0.5349574566587709,1.2838978959810503,Start
Bus Route 107_3,S1.97365,E30.17860,-1.97365,30.1786,10,0.4138808070169698,0.9933139368407276,Start
Mulindi1,S1.97129,E30.17572,-1.97129,30.17572,11,0.7142764137104124,1.7142633929049897,Middle
KK 3 Rd_11,S1.96891,E30.16975,-1.96891,30.16975,12,0.7548198593853719,1.8115676625248924,Middle
At 15 Ndera1,S1.96715,E30.16319,-1.96715,30.16319,13,1.774549572288848,4.258918973493236,Middle
SEZ B2,S1.95801,E30.15010,-1.95801,30.1501,14,1.309339477933483,3.1424147470403594,Middle
Kigali Parents School2,S1.95409,E30.13899,-1.95409,30.13899,15,0.8524479522483169,2.0458750853959606,Middle
La Parisse1,S1.95748,E30.13211,-1.95748,30.13211,16,1.0178540793831503,2.4428497905195607,Middle
Ku Cyamutzig,S1.96272,E30.12460,-1.96272,30.1246,17,1.0702725922093392,2.568654221302414,Middle
Prince House2,S1.96011,E30.11533,-1.96011,30.11533,18,0.3725484308359312,0.8941162340062349,Middle
Alpha Palace Hotel,S1.96120,E30.11216,-1.9612,30.11216,19,0.39615128446227776,0.9507630827094666,Middle
Good Year2,S1.96281,E30.10898,-1.96281,30.10898,20,1.00684016386932,2.416416393286368,Middle
Sonatubes4,S1.96820,E30.10170,-1.9682,30.1017,21,0.4197804868025006,1.0074731683260012,Middle
Bralirwa3,S1.96891,E30.09799,-1.96891,30.09799,22,0.42490554001022995,1.0197732960245518,Middle
Amasezerano,S1.96807,E30.09426,-1.96807,30.09426,23,0.8425591186725521,2.0221418848141246,Middle
Rwandex3,S1.96918,E30.08676,-1.96918,30.08676,24,0.47209631174012007,1.1330311481762882,Middle
Kwa Mironko2,S1.96752,E30.08285,-1.96752,30.08285,25,0.4003229889293893,0.9607751734305342,Middle
KN 3 Rd_6,S1.96489,E30.08039,-1.96489,30.08039,26,0.40824328873015586,0.9797838929523741,End
Volta Super1,S1.96249,E30.07761,-1.96249,30.07761,27,0.6016278753874896,1.4439069009299752,End
Ku Mazi1,S1.95730,E30.07608,-1.9573,30.07608,28,0.7948486265211265,1.9076367036507038,End
Chez Rasta,S1.95026,E30.07484,-1.95026,30.07484,29,0.4152765583912416,0.9966637401389798,End
One Love,S1.94667,E30.07381,-1.94667,30.07381,30,0.801787985750797,1.9242911658019126,End
Forex Form_Poids Lourd,S1.94101,E30.06934,-1.94101,30.06934,31,0.7231421345887415,1.7355411230129796,End
Kigali Gaz_Kinamba,S1.93686,E30.06433,-1.93686,30.06433,32,0.4573088604235281,1.0975412650164675,End
Kinamba Bridge,S1.93549,E30.06045,-1.93549,30.06045,33,0.7785650226464954,1.8685560543515891,End
Handicap HQs,S1.93596,E30.05346,-1.93596,30.05346,34,0.5587761121784696,1.341062669228327,End
Ku Magare,S1.93841,E30.04907,-1.93841,30.04907,35,0.5450074108193256,1.3080177859663813,End
Nyabugogo Bus Park,S1.94073,E30.04475,-1.94073,30.04475,36,0.0,0.0,End
